Car No.	School Name	Team Name	Status	Eval. Score	Final Score
20	Rochester Institute of Technology	RIOT RACING	OK	49.00	49.00
10	Univ of Akron	Zips Baja	OK	48.00	48.00
6	New Jersey Institute of Technology	Highlander Racing	OK	46.67	46.67
39	Univ of Nebraska - Lincoln	Husker Racing	OK	45.00	45.00
87	Univ of Maryland - Baltimore County	UMBC Racing	OK	43.33	43.33
40	Olin College of Engineering	Olin Baja	OK	43.00	43.00
64	Michigan State Univ	MSU Baja	OK	43.00	43.00
43	Univ of Maryland - College Park	Terps Racing	OK	42.33	42.33
158	Universidade Federal De Minas Gerais	Baja UFMG	OK	42.33	42.33
32	Cornell Univ	Cornell Baja	OK	42.00	42.00
38	Univ of Nevada - Las Vegas	Rebel Racing	OK	42.00	42.00
44	Univ of Missouri - Kansas City	UMKC Baja Racing	OK	42.00	42.00
26	Ecole De Technologie Superieure	ETS Motorsports	OK	41.67	41.67
104	Univ of Central Florida	Knights Racing	OK	41.33	41.33
1	Univ of Michigan - Ann Arbor	Michigan Baja Racing	OK	41.00	41.00
48	Univ of Texas - El Paso	Mad Pete Motorsports	OK	41.00	41.00
36	Purdue Univ - W Lafayette	Purdue Baja Racing	OK	40.67	40.67
45	Ohio Northern Univ	Polar Bear Racing	OK	40.67	40.67
50	Univ of Illinois - Urbana Champaign	Off-Road Illini	OK	40.67	40.67
27	Virginia Tech	VT Baja	OK	40.33	40.33
19	Wright State Univ	Raider Baja	OK	40.00	40.00
33	Univ of Iowa	Hawkeye Motorsports	OK	40.00	40.00
165	Escola de Engenharia de Sao Carlos	EESC USP	OK	40.00	40.00
69	Vellore Institute of Technology	Team Jaabaz	OK	39.67	39.67
83	Central Michigan Univ	Chippewa Performance	OK	39.33	39.33
3	Georgia Southern Univ	Eagle Motorsports	OK	39.00	39.00
58	San Diego State Univ	Aztec Baja	OK	38.33	38.33
102	North Carolina A & T State Univ	Aggie Racing	OK	38.33	38.33
34	Clarkson University	Golden Knights Racing	OK	37.67	37.67
85	New Mexico Inst of Mining & Tech	NMT Dirty Miners	OK	37.67	37.67
7	Northeastern Univ	Skunkworks	OK	37.33	37.33
71	Bradley Univ	Bradley Motorsports	OK	37.33	37.33
79	Universite Du Quebec at Rimouski	Baja Nordic Wolf	OK	37.00	37.00
95	Youngstown State Univ	Penguin Powersports	OK	37.00	37.00
66	Queen's Univ	Queen's Baja	OK	36.67	36.67
25	Univ of Calif - Los Angeles	Bruin Racing	OK	36.00	36.00
