Car No.	School Name	Team Name	Status	Report Score	Eval. Score	Penalty Points	Final Score
1	Univ of Michigan - Ann Arbor	Michigan Baja Racing	OK	15.00	85.00	0.00	100.00
101	Université Laval	Alérion	OK	15.00	79.52	0.00	94.52
26	Ecole De Technologie Superieure	ETS Motorsports	OK	15.00	77.26	0.00	92.26
104	Univ of Central Florida	Knights Racing	OK	15.00	74.45	0.00	89.45
87	Univ of Maryland - Baltimore County	UMBC Racing	OK	15.00	73.24	0.00	88.24
158	Universidade Federal De Minas Gerais	Baja UFMG	OK	15.00	69.91	0.00	84.91
43	Univ of Maryland - College Park	Terps Racing	OK	15.00	68.94	0.00	83.94
52	Missouri University of Science and Tech	Miner Baja	OK	15.00	68.91	0.00	83.91
16	Cleveland State Univ	Vikings Racing	OK	15.00	68.42	0.00	83.42
27	Virginia Tech	VT Baja	OK	15.00	68.42	0.00	83.42
32	Cornell Univ	Cornell Baja	OK	15.00	68.30	0.00	83.30
57	Arizona State Univ Polytechnic	Sun Devil Racing	OK	15.00	68.05	0.00	83.05
15	Old Dominion Univ	Whiskey Throttle Racing	OK	15.00	67.77	0.00	82.77
36	Purdue Univ - W Lafayette	Purdue Baja Racing	OK	15.00	67.61	0.00	82.61
58	San Diego State Univ	Aztec Baja	OK	15.00	67.09	0.00	82.09
165	Escola de Engenharia de Sao Carlos	EESC USP	OK	15.00	66.99	0.00	81.99
39	Univ of Nebraska - Lincoln	Husker Racing	OK	15.00	66.51	0.00	81.51
20	Rochester Institute of Technology	RIOT RACING	OK	15.00	65.93	0.00	80.93
77	Michigan Tech Univ	Blizzard Baja	OK	15.00	65.78	0.00	80.78
79	Universite Du Quebec at Rimouski	Baja Nordic Wolf	OK	15.00	65.30	0.00	80.30
46	Georgia Institute of Technology	GT Off Road	OK	15.00	65.28	0.00	80.28
83	Central Michigan Univ	Chippewa Performance	OK	15.00	65.10	0.00	80.10
6	New Jersey Institute of Technology	Highlander Racing	OK	15.00	64.85	0.00	79.85
2	Univ of Wisconsin - Madison	Badger Racing	OK	15.00	64.74	0.00	79.74
95	Youngstown State Univ	Penguin Powersports	OK	15.00	64.56	0.00	79.56
25	Univ of Calif - Los Angeles	Bruin Racing	OK	15.00	64.51	0.00	79.51
106	Alfred Univ	Saxon Racing	OK	15.00	63.70	0.00	78.70
110	Universite de Sherbrooke	Sherbrooke Racing Team	OK	15.00	63.69	0.00	78.69
33	Univ of Iowa	Hawkeye Motorsports	OK	15.00	63.34	0.00	78.34
96	Universidad Autonoma de Ciudad Juarez	Indios Racing	OK	15.00	63.25	0.00	78.25
63	Johns Hopkins Univ	Blue Jay Racing	OK	15.00	62.75	0.00	77.75
44	Univ of Missouri - Kansas City	UMKC Baja Racing	OK	15.00	62.67	0.00	77.67
34	Clarkson University	Golden Knights Racing	OK	15.00	62.66	0.00	77.66
61	Instituto Tecnologico de Chihuahua	Panteras Racing Team	OK	15.00	62.45	0.00	77.45
64	Michigan State Univ	MSU Baja	OK	15.00	62.35	0.00	77.35
56	Oklahoma Christian Univ	Rocky Road Racing	OK	15.00	62.14	0.00	77.14
122	Univ of Arkansas - Fayetteville	Full Boar Racing	OK	15.00	61.73	0.00	76.73
7	Northeastern Univ	Skunkworks	OK	15.00	61.68	0.00	76.68
23	McMaster Univ	McMaster Baja Racing	OK	15.00	61.54	0.00	76.54
72	Northern Michigan Univ	Wildcat Racing	OK	15.00	60.29	0.00	75.29
8	Case Western Reserve Univ	CWRU Motorsports	OK	15.00	59.77	0.00	74.77
19	Wright State Univ	Raider Baja	OK	15.00	59.10	0.00	74.10
109	Kansas State Univ	Wildcat Offroad	OK	15.00	59.09	0.00	74.09
94	Univ of Rochester	Yellow Jacket Racing	OK	15.00	58.93	0.00	73.93
90	Polytechnique Montréal	Poly Mud Bees	OK	15.00	58.73	0.00	73.73
22	Purdue Univ - Northwest	PNW Motorsports	OK	15.00	58.51	0.00	73.51
40	Olin College of Engineering	Olin Baja	OK	15.00	57.93	0.00	72.93
66	Queen's Univ	Queen's Baja	OK	15.00	57.51	0.00	72.51
93	West Virginia Univ Inst of Tech	Golden Bear Racing	OK	15.00	56.91	0.00	71.91
30	Ryerson Univ	Ryerson Baja	OK	15.00	56.26	0.00	71.26
84	Univ of Virginia	Virginia Motorsports	OK	15.00	55.78	0.00	70.78
14	Pennsylvania College of Technology	PCTBaja	OK	15.00	54.80	0.00	69.80
100	Southern Illinois Univ - Edwardville	SIUE Cougar Baja	OK	15.00	54.07	0.00	69.07
99	McGill Univ	McGill Baja Racing	OK	15.00	54.01	0.00	69.01
3	Georgia Southern Univ	Eagle Motorsports	OK	15.00	53.58	0.00	68.58
45	Ohio Northern Univ	Polar Bear Racing	OK	15.00	52.76	0.00	67.76
89	Clemson Univ	CUBaja Racing	OK	15.00	52.32	0.00	67.32
76	The Ohio State University	Baja Buckeyes	OK	15.00	52.23	0.00	67.23
102	North Carolina A & T State Univ	Aggie Racing	OK	15.00	50.71	0.00	65.71
51	Marquette Univ	Eagle Racing	OK	15.00	49.54	0.00	64.54
69	Vellore Institute of Technology	Team Jaabaz	OK	15.00	49.54	0.00	64.54
37	Univ of Colorado - Boulder	CU Boulder Baja	OK	15.00	49.28	0.00	64.28
144	Univ of North Carolina - Charlotte	49er Racing	OK	15.00	48.58	0.00	63.58
50	Univ of Illinois - Urbana Champaign	Off-Road Illini	OK	15.00	48.30	0.00	63.30
126	Murray State Univ	Murray	OK	15.00	47.01	0.00	62.01
54	Montana Tech	MTBaja	OK	15.00	45.79	0.00	60.79
88	Memorial Univ of Newfoundland	Memorial Baja	OK	15.00	44.74	0.00	59.74
68	Kansas State Univ - Salina	Baja SAE Salina	OK	15.00	43.61	0.00	58.61
59	Alfred State College	Pioneer Racing	OK	15.00	43.52	0.00	58.52
65	Univ of Illinois - Chicago	UIC Motorsports	OK	15.00	42.82	0.00	57.82
108	Univ of Pittsburgh - Johnstown	Steel Panther Racing	OK	15.00	42.71	0.00	57.71
10	Univ of Akron	Zips Baja	OK	0.00	57.20	0.00	57.20
38	Univ of Nevada - Las Vegas	Rebel Racing	OK	15.00	41.05	0.00	56.05
71	Bradley Univ	Bradley Motorsports	OK	15.00	40.30	0.00	55.30
5	Lehigh Univ	Lehigh Engineers	OK	15.00	38.51	0.00	53.51
29	Texas A&M Univ	12th Man Racing	OK	15.00	37.07	0.00	52.07
74	Univ of Evansville	UE BAJA	OK	15.00	37.03	0.00	52.03
92	Pittsburg State University	Gorilla Racing	OK	15.00	36.71	0.00	51.71
115	Western Michigan Univ	Bronco Racing	OK	15.00	36.60	0.00	51.60
41	Univ of Oklahoma	Sooner Off-Road	OK	0.00	38.73	0.00	38.73
48	Univ of Texas - El Paso	Mad Pete Motorsports	OK	0.00	36.18	0.00	36.18
67	Ferris State University	Ferris State Baja Racing	OK	15.00	13.54	0.00	28.54
31	Milwaukee School of Engrg	MSOE Baja	OK	15.00	0.00	0.00	15.00
47	Concordia University	Concordia Baja Racing	OK	15.00	0.00	0.00	15.00
53	Univ of West Florida	UWF Argonauts	OK	15.00	0.00	0.00	15.00
55	Manipal University	Agni	OK	15.00	0.00	0.00	15.00
73	Univ of Kansas - Lawrence	JMS Baja	OK	15.00	0.00	0.00	15.00
75	Christian Brothers Univ	Baja Blast	OK	15.00	0.00	0.00	15.00
